2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atom_d_inv_p: (mu, sigma) = (0.7013985611811697, 0.374009990234811)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atom_f_inv_p: (mu, sigma) = (0.8182122708209661, 0.348516016935588)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - ionization_energy_inv_p: (mu, sigma) = (0.2662347049820439, 0.15559528846754686)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - mass_inv_p: (mu, sigma) = (0.02806857971440147, 0.09648486872288002)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - en_inv_p: (mu, sigma) = (0.5343864862356148, 0.16744460250486298)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - row_inv_p: (mu, sigma) = (0.2407591442374055, 0.13870620703201242)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - pseudo_row_inv_p: (mu, sigma) = (0.23138486312399403, 0.14504755599593794)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - group_inv_p: (mu, sigma) = (0.21087639768586117, 0.2521795733321027)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atomic_number_inv_p: (mu, sigma) = (0.05102831974975972, 0.11120812963030308)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - pressure_sqrt_p: (mu, sigma) = (11.269941604523543, 7.990212055659007)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atom_s_sqrt_p: (mu, sigma) = (1.6774166806595228, 0.12352646150350365)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atom_p_sqrt_p: (mu, sigma) = (1.328751625801936, 0.5460652276704135)
2022-11-08 14:20:46,660 - INFO      - normalize.py : 30 line - atom_d_sqrt_p: (mu, sigma) = (1.506380747855477, 0.7559078995719676)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - atom_f_sqrt_p: (mu, sigma) = (1.388750756641696, 0.810480463863212)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - ionization_energy_sqrt_p: (mu, sigma) = (2.1613422010124084, 0.6222399045532861)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - mass_sqrt_p: (mu, sigma) = (10.236493363673288, 3.788033042055547)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - en_sqrt_p: (mu, sigma) = (1.420761830303553, 0.23134990398579378)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - row_sqrt_p: (mu, sigma) = (2.1794770717244267, 0.3776682631833307)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - pseudo_row_sqrt_p: (mu, sigma) = (2.2706200513853, 0.47936606953749916)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - group_sqrt_p: (mu, sigma) = (2.916970563776511, 0.990524004012584)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - atomic_number_sqrt_p: (mu, sigma) = (6.63029255505924, 2.2685825995845033)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))): (mu, sigma) = (4.819341543465732, 1.1092043410367791)
