,minerals,0,100
0,NaPb2(CO3)2(OH),3.6708396531562255,0.18539392062262053
1,NiC31H32N4,3.5135066906896704,0.38494562861284903
2,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,3.227356860789261,-0.9108581001533114
3,K(UO2)(AsO4)(H2O)3,3.9486138678887692,0.7459471411550135
4,Sn21O6(OH)14Cl16,3.7480350858507103,0.10213236175018135
5,Pb2SnInBiS7,2.291137825789599,-2.145960111008377
6,CuMn6O8(SiO4),3.263374757645561,-0.36452105850979416
7,CaAl2(PO4)2F2,4.132184177626353,0.6967240667246118
8,Ag2S,1.9645503135770737,-3.256351639505528
9,CH3CONH2,3.925764681139084,0.8861352437139999
10,FeTiNb2O8,3.687891529812678,0.050417857699041946
11,FeSe,2.0988471949971914,-2.8712144420830215
12,(K0.5Na0.5)3(Fe0.25Ti0.25Al0.25Mg0.25)5O2(AsO4)5,3.6323306553277654,-0.08799287168960249
13,(NH4)2.25K2.25Pb2.25Na2.25Fe4(SO4)5Cl8,3.835132544303576,0.29167886283125005
14,Ca2(Mg3.5Fe1.5)Si8O22(OH)2,3.6677427083074834,-0.13148390957097397
15,SrAlF4(OH)(H2O),4.6542240298994555,1.534375993109783
16,CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),3.6323255352753105,-0.03591185198346413
17,Zn2(AsO4)(OH),3.774095238084753,0.3893990718782957
18,NaY(CO3)2(H2O)6,4.0855799398467205,0.9786467876326606
19,Pb2(TeO3)(SO4),3.9736219620249753,0.6682334548940202
20,Ca2Al6Al6O20,3.2010158743719894,-0.851514814185682
21,CaMg(AsO4)(OH),3.639954594893657,-0.09645824997628333
22,MgB6O10(H2O)7,4.018300136532689,0.8656464870177283
23,K(UO2)(SO4)(OH)(H2O),3.93701817230411,0.7208387654204919
24,(NH4)4NaAl2(SO4)4Cl(OH)2,4.171952929839404,1.0295400523222695
25,(NH4)4NaFe2(SO4)4Cl(OH)2,4.196709463752513,1.0635226332894478
26,Ca12(Al4Mg3Si7)O32Cl6,3.340128593281717,-0.7250224526048814
27,NaFeSi2O6,3.5479655062083566,-0.38864975767362964
28,(Ca0.5Na0.5)(Fe0.33Mg0.33Fe0.33)Si2O6,3.5500396233482663,-0.3633218570333527
29,Na4Fe10Ti2O4Si12O36,3.5210730004303668,-0.4164869474476353
30,(Ca0.5Na0.5)6(Fe0.25Fe0.25Mg0.25Al0.25)4(Al0.5Mg0.5)6Si12O36(OH)12(CO3)(H2O)12,3.8735330231485667,0.4079307939169483
31,Ni8.5(AsO4)2AsO8,3.678623290704791,0.13742699578727308
32,(Ce0.25Ca0.25Fe0.25Th0.25)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,3.686614857337098,0.14936143369444507
33,(Nd0.33Ln0.33Ca0.33)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,3.6649539864024714,0.13700134001750422
34,(Y0.25Ln0.25Ca0.25Th0.25)(Ti0.5Nb0.5)2(O0.5(OH)0.5)6,3.669718835788023,0.12254060275428706
35,(Na0.5K0.5)22Ca10(Si24Al24)O96(SO4)6Cl6,3.3641279892207536,-0.5858308765430504
36,Al3(OH)4(H2O)3(PO4)(PO3(OH))(H2O),4.106780213473921,0.9460103696378006
37,Ca3(SiO4)SiO2(OH)2(H2O)2,3.7411836725223044,0.22375637679218108
38,Pb3CuTeO5(OH)2(CO3),3.8266046434017387,0.4630167818884687
39,YCaKBe3Si12O30,3.7529364489425077,0.07955440502325721
40,CeCu6(AsO4)3(OH)6(H2O)3,3.9350262782253393,0.6427850004120628
41,LaCu6(AsO4)3(OH)6(H2O)3,3.9321635788259997,0.6351482733268284
42,NdCu6(AsO4)3(OH)6(H2O)3,3.9372803762886504,0.6447294477352207
43,YCu6(AsO4)3(OH)6(H2O)3,3.938466468303228,0.6319357604095973
44,Ag2MnSnS4,2.1316742334542913,-2.5585116124992298
45,NaCa2Si4O10F,3.6662315648283985,-0.17062794166091688
46,K4(UO2)(CO3)3,3.263710173143586,-0.31826884117004584
47,K2Ca(UO2)6.0O6.0(OH)4.0(H2O)5,3.8256172664609465,0.5228515589000486
48,Ag4SeS,1.9305895034636198,-3.3336524430921206
49,FeAl6(PO4)4(OH)8(H2O)4,4.016917465605382,0.7426894083796579
50,Ni(SeO3)(H2O)2,4.1532796016289035,1.0752566124160425
51,SiFe2O4,3.5183131149657916,-0.3895379730878266
52,CuPbBiS3,2.2312500724026676,-2.313756443803681
53,Na2(Na2Bi)(SO4)3Cl,3.674781749627194,-0.11652797479922676
54,Sr(VO)2(PO4)2(H2O)4,4.055156249945211,0.8544551153714391
55,K3Cu20Al3Si29O76(OH)16(H2O)8,3.8281253063742877,0.3413879542693019
56,(Fe0.5Ni0.5)8((OH)0.5O0.5)16Cl1.25(H2O),3.9356694797154423,0.574661854510905
57,TiO2,3.6221195166802005,-0.18228381628133583
58,Mn9Al2Si8O24(OH)8,3.5992109623293986,0.08429293753441444
59,Al10O14(OH)2,3.3924279217891598,-0.47819834156803026
60,Ca2MgSi2O7,3.376613120099672,-0.6556083546469559
61,MnO2,3.4522923265103955,0.0320587352082331
62,MgSiO3,3.6042115579011402,-0.38159895549831757
63,Ca4Si2O5(OH)2(OH)4(H2O)5,3.902782314812967,0.5789378841581362
64,Al4Li2(OH)12(CO3)(H2O)3,3.8964691275247754,0.5534815626299494
65,Mn5(AsO4)2(OH)4(H2O)4,3.832870581479159,0.6252722246595198
66,MgB6O7(OH)6(H2O)2,3.9646288444801305,0.7629688708761077
