,element,PNAS_en,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,pressure_pow_2,atom_s_pow_2,atom_p_pow_2,atom_d_pow_2,atom_f_pow_2,ionization_energy_pow_2,mass_pow_2,en_pow_2,row_pow_2,pseudo_row_pow_2,group_pow_2,atomic_number_pow_2,pressure_log_p_abs,atom_s_log_p_abs,atom_p_log_p_abs,atom_d_log_p_abs,atom_f_log_p_abs,ionization_energy_log_p_abs,mass_log_p_abs,en_log_p_abs,row_log_p_abs,pseudo_row_log_p_abs,group_log_p_abs,atomic_number_log_p_abs,pressure_inv_p,atom_s_inv_p,atom_p_inv_p,atom_d_inv_p,atom_f_inv_p,ionization_energy_inv_p,mass_inv_p,en_inv_p,row_inv_p,pseudo_row_inv_p,group_inv_p,atomic_number_inv_p,pressure_sqrt_p,atom_s_sqrt_p,atom_p_sqrt_p,atom_d_sqrt_p,atom_f_sqrt_p,ionization_energy_sqrt_p,mass_sqrt_p,en_sqrt_p,row_sqrt_p,pseudo_row_sqrt_p,group_sqrt_p,atomic_number_sqrt_p,"add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))))","add(add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))))","add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))))))","add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))","add(add(pressure_inv_p, en_sqrt_p), add(add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))","add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))), en_sqrt_p))))","add(add(pressure_inv_p, en_sqrt_p), add(add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))"
10,Li,-8.06,200,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,40000.0,1.0,0.0,0.0,0.0,2.2434048400000006,35.201200963599995,0.07840000000000001,1.0,1.0,0.0,4.0,5.303304908059076,0.6931471805599453,0.0,0.0,0.0,0.9154103444468478,1.9363012741851295,0.2468600779315258,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.004975124378109453,0.5,1.0,1.0,1.0,0.40035231003282884,0.14423645547564856,0.78125,0.5,0.5,1.0,0.3333333333333333,14.177446878757825,1.4142135623730951,1.0,1.0,1.0,1.580442975877333,2.633070451013417,1.131370849898476,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,3.7373961317849806,4.873742106061567,5.207075439394899,6.338446289293376,4.070729465118314,6.343421413671486,3.404062798451647,5.671779622626708,7.479767387948071,6.005112955960042
11,Li,-7.88,500,1,0,0,0,5.3917,6.941,0.98,2,2,1,3,250000.0,1.0,0.0,0.0,0.0,2.2434048400000006,35.201200963599995,0.07840000000000001,1.0,1.0,0.0,4.0,6.2166061010848646,0.6931471805599453,0.0,0.0,0.0,0.9154103444468478,1.9363012741851295,0.2468600779315258,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.001996007984031936,0.5,1.0,1.0,1.0,0.40035231003282884,0.14423645547564856,0.78125,0.5,0.5,1.0,0.3333333333333333,22.38302928559939,1.4142135623730951,1.0,1.0,1.0,1.580442975877333,2.633070451013417,1.131370849898476,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,3.731437898996826,4.864804756879334,5.198138090212667,6.329508940111143,4.064771232330159,6.331504948095175,3.398104565663492,5.662842273444476,7.464871805977682,5.99617560677781
12,Be,1.42,0,2,0,0,0,9.3227,9.012182,1.57,2,2,2,4,0.0,4.0,0.0,0.0,0.0,29.47186943999999,64.067889994564,0.7569000000000002,1.0,1.0,1.0,9.0,0.0,1.0986122886681098,0.0,0.0,0.0,1.860787895638478,2.1976957996268878,0.6259384308664954,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.0,0.3333333333333333,1.0,1.0,1.0,0.155550024888004,0.11105876541301311,0.53475935828877,0.5,0.5,0.5,0.25,1.0,1.7320508075688772,1.0,1.0,1.0,2.5355078386784764,3.0007069167114606,1.3674794331177345,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,6.352438299353203,8.719917732470938,8.969917732470938,10.337397165588673,6.602438299353203,11.337397165588673,6.102438299353203,9.837397165588673,13.704876598706408,10.087397165588673
13,Be,-3.66,50,2,0,0,0,9.3227,9.012182,1.57,2,2,2,4,2500.0,4.0,0.0,0.0,0.0,29.47186943999999,64.067889994564,0.7569000000000002,1.0,1.0,1.0,9.0,3.9318256327243257,1.0986122886681098,0.0,0.0,0.0,1.860787895638478,2.1976957996268878,0.6259384308664954,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0196078431372549,0.3333333333333333,1.0,1.0,1.0,0.155550024888004,0.11105876541301311,0.53475935828877,0.5,0.5,0.5,0.25,7.14142842854285,1.7320508075688772,1.0,1.0,1.0,2.5355078386784764,3.0007069167114606,1.3674794331177345,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,4.391653985627713,5.778741261882702,6.028741261882702,7.396220695000436,4.641653985627713,7.415828538137692,4.141653985627713,6.896220695000437,8.802915814392682,7.146220695000437
14,Be,-6.03,200,2,0,0,0,9.3227,9.012182,1.57,2,2,2,4,40000.0,4.0,0.0,0.0,0.0,29.47186943999999,64.067889994564,0.7569000000000002,1.0,1.0,1.0,9.0,5.303304908059076,1.0986122886681098,0.0,0.0,0.0,1.860787895638478,2.1976957996268878,0.6259384308664954,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.004975124378109453,0.3333333333333333,1.0,1.0,1.0,0.155550024888004,0.11105876541301311,0.53475935828877,0.5,0.5,0.5,0.25,14.177446878757825,1.7320508075688772,1.0,1.0,1.0,2.5355078386784764,3.0007069167114606,1.3674794331177345,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,4.362388548109422,5.7348431056052664,5.9848431056052664,7.3523225387230005,4.612388548109422,7.357297663101111,4.112388548109422,6.852322538723001,8.729752220596955,7.102322538723001
15,Be,-6.71,500,2,0,0,0,9.3227,9.012182,1.57,2,2,2,4,250000.0,4.0,0.0,0.0,0.0,29.47186943999999,64.067889994564,0.7569000000000002,1.0,1.0,1.0,9.0,6.2166061010848646,1.0986122886681098,0.0,0.0,0.0,1.860787895638478,2.1976957996268878,0.6259384308664954,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.001996007984031936,0.3333333333333333,1.0,1.0,1.0,0.155550024888004,0.11105876541301311,0.53475935828877,0.5,0.5,0.5,0.25,22.38302928559939,1.7320508075688772,1.0,1.0,1.0,2.5355078386784764,3.0007069167114606,1.3674794331177345,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,4.356430315321267,5.725905756423034,5.975905756423034,7.3433851895407685,4.606430315321267,7.3453811975248,4.106430315321267,6.8433851895407685,8.714856638626566,7.0933851895407685
16,B,1.6,0,2,1,0,0,8.298,10.811,2.04,2,2,13,5,0.0,4.0,1.0,0.0,0.0,19.396096809999996,96.09998536360001,1.7956000000000003,1.0,1.0,144.0,16.0,0.0,1.0986122886681098,0.6931471805599453,0.0,0.0,1.6871579247379913,2.3798294273321985,0.85015092936961,0.6931471805599453,0.6931471805599453,2.5649493574615367,1.6094379124341003,1.0,0.3333333333333333,0.5,1.0,1.0,0.1850446882922226,0.09256636545571346,0.4273504273504274,0.5,0.5,0.07692307692307693,0.2,1.0,1.7320508075688772,1.4142135623730951,1.0,1.0,2.324672019877213,3.2868008762320846,1.5297058540778354,1.4142135623730951,1.4142135623730951,3.605551275463989,2.23606797749979,6.789117562233507,9.318823416311343,9.518823416311342,11.048529270389178,6.989117562233506,12.048529270389178,6.589117562233506,10.648529270389178,14.578235124467014,10.848529270389179
17,B,-2.2,50,2,1,0,0,8.298,10.811,2.04,2,2,13,5,2500.0,4.0,1.0,0.0,0.0,19.396096809999996,96.09998536360001,1.7956000000000003,1.0,1.0,144.0,16.0,3.9318256327243257,1.0986122886681098,0.6931471805599453,0.0,0.0,1.6871579247379913,2.3798294273321985,0.85015092936961,0.6931471805599453,0.6931471805599453,2.5649493574615367,1.6094379124341003,0.0196078431372549,0.3333333333333333,0.5,1.0,1.0,0.1850446882922226,0.09256636545571346,0.4273504273504274,0.5,0.5,0.07692307692307693,0.2,7.14142842854285,1.7320508075688772,1.4142135623730951,1.0,1.0,2.324672019877213,3.2868008762320846,1.5297058540778354,1.4142135623730951,1.4142135623730951,3.605551275463989,2.23606797749979,4.828333248508017,6.377646945723106,6.577646945723107,8.107352799800942,5.028333248508016,8.126960642938197,4.6283332485080155,7.707352799800942,9.676274340153288,7.907352799800941
18,B,-3.77,200,2,1,0,0,8.298,10.811,2.04,2,2,13,5,40000.0,4.0,1.0,0.0,0.0,19.396096809999996,96.09998536360001,1.7956000000000003,1.0,1.0,144.0,16.0,5.303304908059076,1.0986122886681098,0.6931471805599453,0.0,0.0,1.6871579247379913,2.3798294273321985,0.85015092936961,0.6931471805599453,0.6931471805599453,2.5649493574615367,1.6094379124341003,0.004975124378109453,0.3333333333333333,0.5,1.0,1.0,0.1850446882922226,0.09256636545571346,0.4273504273504274,0.5,0.5,0.07692307692307693,0.2,14.177446878757825,1.7320508075688772,1.4142135623730951,1.0,1.0,2.324672019877213,3.2868008762320846,1.5297058540778354,1.4142135623730951,1.4142135623730951,3.605551275463989,2.23606797749979,4.799067810989726,6.3337487894456705,6.533748789445671,8.063454643523507,4.999067810989725,8.068429767901616,4.599067810989725,7.663454643523506,9.603110746357562,7.8634546435235055
19,B,-4.6,500,2,1,0,0,8.298,10.811,2.04,2,2,13,5,250000.0,4.0,1.0,0.0,0.0,19.396096809999996,96.09998536360001,1.7956000000000003,1.0,1.0,144.0,16.0,6.2166061010848646,1.0986122886681098,0.6931471805599453,0.0,0.0,1.6871579247379913,2.3798294273321985,0.85015092936961,0.6931471805599453,0.6931471805599453,2.5649493574615367,1.6094379124341003,0.001996007984031936,0.3333333333333333,0.5,1.0,1.0,0.1850446882922226,0.09256636545571346,0.4273504273504274,0.5,0.5,0.07692307692307693,0.2,22.38302928559939,1.7320508075688772,1.4142135623730951,1.0,1.0,2.324672019877213,3.2868008762320846,1.5297058540778354,1.4142135623730951,1.4142135623730951,3.605551275463989,2.23606797749979,4.7931095782015705,6.3248114402634386,6.524811440263438,8.054517294341274,4.993109578201571,8.056513302325305,4.59310957820157,7.654517294341273,9.588215164387174,7.8545172943412735
