,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
75,500,1,0,0,0,4.3407,39.0983,0.82,4,4,1,19,-7.38,K
76,0,2,0,0,0,6.1132,40.078,1.0,4,4,2,20,0.04,Ca
77,50,2,0,0,0,6.1132,40.078,1.0,4,4,2,20,-6.38,Ca
78,200,2,0,0,0,6.1132,40.078,1.0,4,4,2,20,-6.9,Ca
79,500,2,0,0,0,6.1132,40.078,1.0,4,4,2,20,-6.86,Ca
80,0,2,0,1,0,6.5615,44.955912,1.36,4,4,3,21,0.36,Sc
81,50,2,0,1,0,6.5615,44.955912,1.36,4,4,3,21,-6.14,Sc
82,200,2,0,1,0,6.5615,44.955912,1.36,4,4,3,21,-6.79,Sc
83,500,2,0,1,0,6.5615,44.955912,1.36,4,4,3,21,-6.79,Sc
84,0,2,0,2,0,6.8281,47.867,1.54,4,4,4,22,0.55,Ti
85,50,2,0,2,0,6.8281,47.867,1.54,4,4,4,22,-5.6,Ti
86,200,2,0,2,0,6.8281,47.867,1.54,4,4,4,22,-6.15,Ti
87,500,2,0,2,0,6.8281,47.867,1.54,4,4,4,22,-6.44,Ti
88,0,2,0,3,0,6.7462,50.9415,1.63,4,4,5,23,0.73,V
89,50,2,0,3,0,6.7462,50.9415,1.63,4,4,5,23,-4.82,V
90,200,2,0,3,0,6.7462,50.9415,1.63,4,4,5,23,-5.75,V
91,500,2,0,3,0,6.7462,50.9415,1.63,4,4,5,23,-5.64,V
92,0,1,0,5,0,6.7665,51.9961,1.66,4,4,6,24,0.91,Cr
93,50,1,0,5,0,6.7665,51.9961,1.66,4,4,6,24,-5.76,Cr
94,200,1,0,5,0,6.7665,51.9961,1.66,4,4,6,24,-5.94,Cr
95,500,1,0,5,0,6.7665,51.9961,1.66,4,4,6,24,-5.59,Cr
96,0,2,0,5,0,7.434,54.938044999999995,1.55,4,4,7,25,-0.21,Mn
97,50,2,0,5,0,7.434,54.938044999999995,1.55,4,4,7,25,-4.77,Mn
98,200,2,0,5,0,7.434,54.938044999999995,1.55,4,4,7,25,-5.48,Mn
99,500,2,0,5,0,7.434,54.938044999999995,1.55,4,4,7,25,-5.18,Mn
100,0,2,0,6,0,7.9024,55.845,1.83,4,4,8,26,1.35,Fe
101,50,2,0,6,0,7.9024,55.845,1.83,4,4,8,26,-4.85,Fe
102,200,2,0,6,0,7.9024,55.845,1.83,4,4,8,26,-5.09,Fe
103,500,2,0,6,0,7.9024,55.845,1.83,4,4,8,26,-4.84,Fe
104,0,2,0,7,0,7.881,58.933195,1.88,4,4,9,27,1.5,Co
105,50,2,0,7,0,7.881,58.933195,1.88,4,4,9,27,-3.96,Co
106,200,2,0,7,0,7.881,58.933195,1.88,4,4,9,27,-4.2,Co
107,500,2,0,7,0,7.881,58.933195,1.88,4,4,9,27,-3.75,Co
108,0,2,0,8,0,7.6399,58.6934,1.91,4,4,10,28,1.7,Ni
109,50,2,0,8,0,7.6399,58.6934,1.91,4,4,10,28,-3.18,Ni
110,200,2,0,8,0,7.6399,58.6934,1.91,4,4,10,28,-4.54,Ni
111,500,2,0,8,0,7.6399,58.6934,1.91,4,4,10,28,-4.36,Ni
112,0,1,0,10,0,7.7264,63.54600000000001,1.9,4,4,11,29,1.31,Cu
113,50,1,0,10,0,7.7264,63.54600000000001,1.9,4,4,11,29,-3.2,Cu
114,200,1,0,10,0,7.7264,63.54600000000001,1.9,4,4,11,29,-5.86,Cu
115,500,1,0,10,0,7.7264,63.54600000000001,1.9,4,4,11,29,-7.71,Cu
116,0,2,0,10,0,9.3942,65.40899999999999,1.65,4,4,12,30,1.0,Zn
117,50,2,0,10,0,9.3942,65.40899999999999,1.65,4,4,12,30,-3.47,Zn
118,200,2,0,10,0,9.3942,65.40899999999999,1.65,4,4,12,30,-5.26,Zn
119,500,2,0,10,0,9.3942,65.40899999999999,1.65,4,4,12,30,-6.25,Zn
120,0,2,1,0,0,5.9993,69.723,1.81,4,4,13,31,0.15,Ga
121,50,2,1,0,0,5.9993,69.723,1.81,4,4,13,31,-4.45,Ga
122,200,2,1,0,0,5.9993,69.723,1.81,4,4,13,31,-6.5,Ga
123,500,2,1,0,0,5.9993,69.723,1.81,4,4,13,31,-7.21,Ga
124,0,2,2,0,0,7.8994,72.64,2.01,4,4,14,32,1.69,Ge
125,50,2,2,0,0,7.8994,72.64,2.01,4,4,14,32,-2.61,Ge
126,200,2,2,0,0,7.8994,72.64,2.01,4,4,14,32,-4.77,Ge
127,500,2,2,0,0,7.8994,72.64,2.01,4,4,14,32,-6.07,Ge
128,0,2,3,0,0,9.7886,74.9216,2.18,4,4,15,33,2.49,As
129,50,2,3,0,0,9.7886,74.9216,2.18,4,4,15,33,-1.23,As
130,200,2,3,0,0,9.7886,74.9216,2.18,4,4,15,33,-3.04,As
131,500,2,3,0,0,9.7886,74.9216,2.18,4,4,15,33,-4.3,As
132,0,2,4,0,0,9.7524,78.96,2.55,4,4,16,34,3.09,Se
133,50,2,4,0,0,9.7524,78.96,2.55,4,4,16,34,-0.11,Se
134,200,2,4,0,0,9.7524,78.96,2.55,4,4,16,34,-1.69,Se
135,500,2,4,0,0,9.7524,78.96,2.55,4,4,16,34,-2.91,Se
136,0,2,5,0,0,11.8138,79.904,2.96,4,4,17,35,4.73,Br
137,50,2,5,0,0,11.8138,79.904,2.96,4,4,17,35,1.9,Br
138,200,2,5,0,0,11.8138,79.904,2.96,4,4,17,35,0.47,Br
139,500,2,5,0,0,11.8138,79.904,2.96,4,4,17,35,-0.74,Br
140,0,2,6,0,0,13.9996,83.79799999999999,3.0,4,4,18,36,3.4,Kr
141,50,2,6,0,0,13.9996,83.79799999999999,3.0,4,4,18,36,-1.09,Kr
142,200,2,6,0,0,13.9996,83.79799999999999,3.0,4,4,18,36,-2.12,Kr
143,500,2,6,0,0,13.9996,83.79799999999999,3.0,4,4,18,36,-2.72,Kr
144,0,1,0,0,0,4.1771,85.4678,0.82,5,5,1,37,-0.79,Rb
145,50,1,0,0,0,4.1771,85.4678,0.82,5,5,1,37,-7.03,Rb
146,200,1,0,0,0,4.1771,85.4678,0.82,5,5,1,37,-7.73,Rb
147,500,1,0,0,0,4.1771,85.4678,0.82,5,5,1,37,-7.69,Rb
148,0,2,0,0,0,5.6949,87.62,0.95,5,5,2,38,-0.18,Sr
149,50,2,0,0,0,5.6949,87.62,0.95,5,5,2,38,-6.13,Sr
150,200,2,0,0,0,5.6949,87.62,0.95,5,5,2,38,-6.87,Sr
151,500,2,0,0,0,5.6949,87.62,0.95,5,5,2,38,-7.0,Sr
152,0,2,0,1,0,6.2173,88.90585,1.22,5,5,3,39,0.28,Y
153,50,2,0,1,0,6.2173,88.90585,1.22,5,5,3,39,-5.8,Y
154,200,2,0,1,0,6.2173,88.90585,1.22,5,5,3,39,-6.33,Y
155,500,2,0,1,0,6.2173,88.90585,1.22,5,5,3,39,-6.46,Y
156,0,2,0,2,0,6.6339,91.22399999999999,1.33,5,5,4,40,0.56,Zr
157,50,2,0,2,0,6.6339,91.22399999999999,1.33,5,5,4,40,-4.98,Zr
158,200,2,0,2,0,6.6339,91.22399999999999,1.33,5,5,4,40,-5.97,Zr
159,500,2,0,2,0,6.6339,91.22399999999999,1.33,5,5,4,40,-6.26,Zr
160,0,1,0,4,0,6.7589,92.90638,1.6,5,5,5,41,0.79,Nb
161,50,1,0,4,0,6.7589,92.90638,1.6,5,5,5,41,-4.55,Nb
162,200,1,0,4,0,6.7589,92.90638,1.6,5,5,5,41,-5.24,Nb
163,500,1,0,4,0,6.7589,92.90638,1.6,5,5,5,41,-5.66,Nb
164,0,1,0,5,0,7.0924,95.94,2.16,5,5,6,42,0.9,Mo
165,50,1,0,5,0,7.0924,95.94,2.16,5,5,6,42,-4.3,Mo
166,200,1,0,5,0,7.0924,95.94,2.16,5,5,6,42,-4.59,Mo
167,500,1,0,5,0,7.0924,95.94,2.16,5,5,6,42,-4.47,Mo
168,0,2,0,5,0,7.28,98.0,1.9,5,5,7,43,0.61,Tc
169,50,2,0,5,0,7.28,98.0,1.9,5,5,7,43,-3.65,Tc
170,200,2,0,5,0,7.28,98.0,1.9,5,5,7,43,-4.04,Tc
171,500,2,0,5,0,7.28,98.0,1.9,5,5,7,43,-4.04,Tc
172,0,1,0,7,0,7.3605,101.07,2.2,5,5,8,44,0.92,Ru
173,50,1,0,7,0,7.3605,101.07,2.2,5,5,8,44,-3.0,Ru
174,200,1,0,7,0,7.3605,101.07,2.2,5,5,8,44,-3.43,Ru
175,500,1,0,7,0,7.3605,101.07,2.2,5,5,8,44,-3.49,Ru
176,0,1,0,8,0,7.4589,102.9055,2.28,5,5,9,45,0.75,Rh
177,50,1,0,8,0,7.4589,102.9055,2.28,5,5,9,45,-1.87,Rh
178,200,1,0,8,0,7.4589,102.9055,2.28,5,5,9,45,-2.1,Rh
179,500,1,0,8,0,7.4589,102.9055,2.28,5,5,9,45,-2.0,Rh
180,0,0,0,10,0,8.3369,106.42,2.2,5,5,10,46,1.72,Pd
181,50,0,0,10,0,8.3369,106.42,2.2,5,5,10,46,-2.15,Pd
182,200,0,0,10,0,8.3369,106.42,2.2,5,5,10,46,-3.64,Pd
183,500,0,0,10,0,8.3369,106.42,2.2,5,5,10,46,-3.74,Pd
184,0,1,0,10,0,7.5762,107.8682,1.93,5,5,11,47,1.31,Ag
185,50,1,0,10,0,7.5762,107.8682,1.93,5,5,11,47,-3.46,Ag
186,200,1,0,10,0,7.5762,107.8682,1.93,5,5,11,47,-6.16,Ag
187,500,1,0,10,0,7.5762,107.8682,1.93,5,5,11,47,-8.09,Ag
188,0,2,0,10,0,8.9938,112.411,1.69,5,5,12,48,0.83,Cd
189,50,2,0,10,0,8.9938,112.411,1.69,5,5,12,48,-3.85,Cd
190,200,2,0,10,0,8.9938,112.411,1.69,5,5,12,48,-5.79,Cd
191,500,2,0,10,0,8.9938,112.411,1.69,5,5,12,48,-6.91,Cd
192,0,2,1,0,0,5.7864,114.818,1.78,5,5,13,49,-0.22,In
193,50,2,1,0,0,5.7864,114.818,1.78,5,5,13,49,-4.93,In
194,200,2,1,0,0,5.7864,114.818,1.78,5,5,13,49,-7.11,In
195,500,2,1,0,0,5.7864,114.818,1.78,5,5,13,49,-7.82,In
196,0,2,2,0,0,7.3439,118.71,1.96,5,5,14,50,1.27,Sn
197,50,2,2,0,0,7.3439,118.71,1.96,5,5,14,50,-3.35,Sn
198,200,2,2,0,0,7.3439,118.71,1.96,5,5,14,50,-5.72,Sn
199,500,2,2,0,0,7.3439,118.71,1.96,5,5,14,50,-7.11,Sn
200,0,2,3,0,0,8.6084,121.76,2.05,5,5,15,51,1.95,Sb
201,50,2,3,0,0,8.6084,121.76,2.05,5,5,15,51,-2.24,Sb
202,200,2,3,0,0,8.6084,121.76,2.05,5,5,15,51,-4.48,Sb
203,500,2,3,0,0,8.6084,121.76,2.05,5,5,15,51,-6.04,Sb
204,0,2,4,0,0,9.0096,127.6,2.1,5,5,16,52,2.58,Te
205,50,2,4,0,0,9.0096,127.6,2.1,5,5,16,52,-1.1,Te
206,200,2,4,0,0,9.0096,127.6,2.1,5,5,16,52,-3.1,Te
207,500,2,4,0,0,9.0096,127.6,2.1,5,5,16,52,-4.68,Te
208,0,2,5,0,0,10.4513,126.90446999999999,2.66,5,5,17,53,3.82,I
209,50,2,5,0,0,10.4513,126.90446999999999,2.66,5,5,17,53,0.47,I
210,200,2,5,0,0,10.4513,126.90446999999999,2.66,5,5,17,53,-1.41,I
211,500,2,5,0,0,10.4513,126.90446999999999,2.66,5,5,17,53,-3.03,I
212,0,2,6,0,0,12.1298,131.293,2.6,5,5,18,54,2.6,Xe
213,50,2,6,0,0,12.1298,131.293,2.6,5,5,18,54,-1.7,Xe
214,200,2,6,0,0,12.1298,131.293,2.6,5,5,18,54,-2.64,Xe
215,500,2,6,0,0,12.1298,131.293,2.6,5,5,18,54,-3.09,Xe
216,0,1,0,0,0,3.8939,132.9054519,0.79,6,6,1,55,-1.35,Cs
217,50,1,0,0,0,3.8939,132.9054519,0.79,6,6,1,55,-7.17,Cs
218,200,1,0,0,0,3.8939,132.9054519,0.79,6,6,1,55,-7.67,Cs
219,500,1,0,0,0,3.8939,132.9054519,0.79,6,6,1,55,-7.74,Cs
220,0,2,0,0,0,5.2117,137.327,0.89,6,6,2,56,-0.36,Ba
221,50,2,0,0,0,5.2117,137.327,0.89,6,6,2,56,-5.36,Ba
222,200,2,0,0,0,5.2117,137.327,0.89,6,6,2,56,-6.56,Ba
223,500,2,0,0,0,5.2117,137.327,0.89,6,6,2,56,-6.9,Ba
224,0,2,0,1,0,5.5769,138.90547,1.1,6,8,3,57,0.08,La
225,50,2,0,1,0,5.5769,138.90547,1.1,6,8,3,57,-5.59,La
226,200,2,0,1,0,5.5769,138.90547,1.1,6,8,3,57,-6.3,La
227,500,2,0,1,0,5.5769,138.90547,1.1,6,8,3,57,-7.52,La
228,0,2,0,1,1,5.5387,140.116,1.12,6,8,4,58,0.02,Ce
229,50,2,0,1,1,5.5387,140.116,1.12,6,8,4,58,-5.18,Ce
230,200,2,0,1,1,5.5387,140.116,1.12,6,8,4,58,-5.93,Ce
231,500,2,0,1,1,5.5387,140.116,1.12,6,8,4,58,-6.24,Ce
232,0,2,0,0,3,5.473,140.90765,1.13,6,8,5,59,0.11,Pr
233,50,2,0,0,3,5.473,140.90765,1.13,6,8,5,59,-5.24,Pr
234,200,2,0,0,3,5.473,140.90765,1.13,6,8,5,59,-5.95,Pr
235,500,2,0,0,3,5.473,140.90765,1.13,6,8,5,59,-6.22,Pr
236,0,2,0,0,4,5.525,144.24200000000002,1.14,6,8,6,60,0.18,Nd
237,50,2,0,0,4,5.525,144.24200000000002,1.14,6,8,6,60,-4.77,Nd
238,200,2,0,0,4,5.525,144.24200000000002,1.14,6,8,6,60,-5.97,Nd
