,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
325,50,2,2,0,0,7.4167,207.2,2.33,6,6,14,82,-3.64,Pb
326,200,2,2,0,0,7.4167,207.2,2.33,6,6,14,82,-5.74,Pb
327,500,2,2,0,0,7.4167,207.2,2.33,6,6,14,82,-6.85,Pb
328,0,2,3,0,0,7.2855,208.9804,2.02,6,6,15,83,1.22,Bi
329,50,2,3,0,0,7.2855,208.9804,2.02,6,6,15,83,-3.09,Bi
330,200,2,3,0,0,7.2855,208.9804,2.02,6,6,15,83,-5.22,Bi
331,500,2,3,0,0,7.2855,208.9804,2.02,6,6,15,83,-6.76,Bi
332,0,2,4,0,0,8.414,210.0,2.0,6,6,16,84,2.05,Po
333,50,2,4,0,0,8.414,210.0,2.0,6,6,16,84,-1.84,Po
334,200,2,4,0,0,8.414,210.0,2.0,6,6,16,84,-3.71,Po
335,500,2,4,0,0,8.414,210.0,2.0,6,6,16,84,-5.49,Po
336,0,2,5,0,0,9.5,210.0,2.2,6,6,17,85,2.98,At
337,50,2,5,0,0,9.5,210.0,2.2,6,6,17,85,-0.51,At
338,200,2,5,0,0,9.5,210.0,2.2,6,6,17,85,-2.31,At
339,500,2,5,0,0,9.5,210.0,2.2,6,6,17,85,-3.96,At
340,0,2,6,0,0,10.7485,220.0,2.2,6,6,18,86,1.86,Rn
341,50,2,6,0,0,10.7485,220.0,2.2,6,6,18,86,-2.97,Rn
342,200,2,6,0,0,10.7485,220.0,2.2,6,6,18,86,-4.3,Rn
343,500,2,6,0,0,10.7485,220.0,2.2,6,6,18,86,-5.1,Rn
344,0,1,0,0,0,4.0727,223.0,0.7,7,7,1,87,-0.86,Fr
345,50,1,0,0,0,4.0727,223.0,0.7,7,7,1,87,-6.93,Fr
346,200,1,0,0,0,4.0727,223.0,0.7,7,7,1,87,-7.77,Fr
347,500,1,0,0,0,4.0727,223.0,0.7,7,7,1,87,-7.32,Fr
348,0,2,0,0,0,5.2784,226.0,0.9,7,7,2,88,-0.52,Ra
349,50,2,0,0,0,5.2784,226.0,0.9,7,7,2,88,-6.04,Ra
350,200,2,0,0,0,5.2784,226.0,0.9,7,7,2,88,-7.44,Ra
351,500,2,0,0,0,5.2784,226.0,0.9,7,7,2,88,-7.42,Ra
352,0,2,0,1,0,5.3807,227.0,1.1,7,9,3,89,0.06,Ac
353,50,2,0,1,0,5.3807,227.0,1.1,7,9,3,89,-5.64,Ac
354,200,2,0,1,0,5.3807,227.0,1.1,7,9,3,89,-7.09,Ac
355,500,2,0,1,0,5.3807,227.0,1.1,7,9,3,89,-7.91,Ac
356,0,2,0,2,0,6.3067,232.03806,1.3,7,9,4,90,0.49,Th
357,50,2,0,2,0,6.3067,232.03806,1.3,7,9,4,90,-5.2,Th
358,200,2,0,2,0,6.3067,232.03806,1.3,7,9,4,90,-6.53,Th
359,500,2,0,2,0,6.3067,232.03806,1.3,7,9,4,90,-7.25,Th
360,0,2,0,1,2,5.89,231.03588,1.5,7,9,5,91,-0.07,Pa
361,50,2,0,1,2,5.89,231.03588,1.5,7,9,5,91,-5.19,Pa
362,200,2,0,1,2,5.89,231.03588,1.5,7,9,5,91,-6.56,Pa
363,500,2,0,1,2,5.89,231.03588,1.5,7,9,5,91,-7.2,Pa
364,0,2,0,1,3,6.1939,238.02891,1.38,7,9,6,92,0.11,U
365,50,2,0,1,3,6.1939,238.02891,1.38,7,9,6,92,-5.28,U
366,200,2,0,1,3,6.1939,238.02891,1.38,7,9,6,92,-6.44,U
367,500,2,0,1,3,6.1939,238.02891,1.38,7,9,6,92,-7.2,U
368,0,2,0,1,4,6.2657,237.0,1.36,7,9,7,93,-0.16,Np
369,50,2,0,1,4,6.2657,237.0,1.36,7,9,7,93,-5.4,Np
370,200,2,0,1,4,6.2657,237.0,1.36,7,9,7,93,-6.7,Np
371,500,2,0,1,4,6.2657,237.0,1.36,7,9,7,93,-6.97,Np
372,0,2,0,0,6,6.026,244.0,1.28,7,9,8,94,-0.49,Pu
373,50,2,0,0,6,6.026,244.0,1.28,7,9,8,94,-5.54,Pu
374,200,2,0,0,6,6.026,244.0,1.28,7,9,8,94,-6.68,Pu
375,500,2,0,0,6,6.026,244.0,1.28,7,9,8,94,-6.89,Pu
376,0,2,0,0,7,5.9738,243.0,1.3,7,9,9,95,-0.35,Am
377,50,2,0,0,7,5.9738,243.0,1.3,7,9,9,95,-5.76,Am
378,200,2,0,0,7,5.9738,243.0,1.3,7,9,9,95,-6.88,Am
379,500,2,0,0,7,5.9738,243.0,1.3,7,9,9,95,-7.17,Am
380,0,2,0,1,7,5.9914,247.0,1.3,7,9,10,96,-0.21,Cm
381,50,2,0,1,7,5.9914,247.0,1.3,7,9,10,96,-5.62,Cm
382,200,2,0,1,7,5.9914,247.0,1.3,7,9,10,96,-6.75,Cm
383,500,2,0,1,7,5.9914,247.0,1.3,7,9,10,96,-7.06,Cm
