,minerals,,
574,Pb8O5(OH)2Cl4,,
575,Na2Mg(SO4)2(H2O)4,,
576,Cu2V2O7,,
577,Cu6(IO3)(OH)10Cl,,
578,Na7(UO2)(SO4)4Cl(H2O)2,,
579,K4Mg2(V2V8O28)(H2O)14,,
580,NaAl(UO2)2(SO4)4(H2O)18,,
581,Na2Mn5FeAl(PO4)6,,
582,Na(UO2)8O3(OH)11(H2O)10,,
583,Mg3(PO4)2(H2O)8,,
584,VO(SO4)(H2O)3,,
585,Cu5Cl2(OH)8(H2O)2,,
586,Pb4(Al3Cu)(Si4O12)(S0.5Si0.5O4)(OH)7Cl(H2O)3,,
587,Na2KBa(Mn0.5Na0.5)8(Nb0.5Ti0.5)4(Si2O7)4O4(OH)4(O0.5F0.5)2,,
588,(Na0.5Ca0.5)13Sr11(Zr0.33Y0.33Nb0.33)14Si42B6O132(OH)12(H2O)12,,
589,Bi2(TeO3)2(SO4),,
590,(Au0.33Te0.33Pb0.33)3(Cu0.5Fe0.5),,
591,Na2Sr2Al2(PO4)F9,,
592,Na3Ca8(Si77Al19)O192(H2O)70,,
593,Na2SrBa2Al4F20,,
594,AgBiSe2,,
595,AlO(OH),,
596,Ca4Be3.5Al0.5Si9O24.5(OH)3.5,,
597,Fe4(PO4)3(SO4)(OH)(H2O)20,,
598,Cu3(N3C2H2)3(OH)Cl2(H2O)6,,
599,(Al0.5Fe0.5)1.3(V0.33V0.33Fe0.33)8O20(H2O)7.5,,
600,KAg9Pb26Cu24Cl62(OH)48,,
601,Al2(PO4)(OH)34.5(H2O),,
602,(Na7)(Al6Si6O24)F(H2O)4,,
603,(K0.5Na0.5)(UO2)(SiO3(OH))(H2O)1.5,,
604,Ni2FeO2(BO3),,
605,Sc(AsO4)(H2O)2,,
606,Cu(SO4)(H2O)3,,
607,As4S4,,
608,Na3Fe(PO4)(CO3),,
609,Cu(SO4)(H2O)7,,
610,Mg3B7O13Cl,,
611,Al16B6O30(Si2O7),,
612,Na2B4O5(OH)4(H2O)8,,
613,Ca4MgB4O6(CO3)2(OH)6,,
614,Cu3(V0.5As0.5)2O8.0,,
615,Pd1.1(As0.5Pb0.5)2,,
616,Na6(Na)Ba2Ti2Nb2(Si2O7)4(PO4)2O4(OH)2F2,,
617,CoCo2Se4,,
618,Cu5FeS4,,
619,LiAl4(Si3B)O10(OH)8,,
620,Ag4.83Fe0.21Pb0.45(Bi0.5Sb0.5)8.84S16,,
621,Al9BSi2O19,,
622,KAl2(Si3B)O10(OH)2,,
623,Pd3SbTe4,,
624,Pd4Cu3Zn,,
625,Ca2(Ca1.5Zr0.5)Na(NaCa)Ti(Si2O7)2(OF)F2,,
626,TlPb4(Sb7As2)S18,,
627,NaFe3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,,
628,SiO2CH4,,
629,CaMn6Si3O16(H2O)7,,
630,Cu2Cl(OH)3,,
631,MgFe(SO4)2(OH)(H2O)7,,
632,NiSb2(OH)12(H2O)6,,
633,SrFe(Ti12Cr6)Mg2O36(OH)2,,
634,Bi6(Mg0.5Co0.5)11Fe14(AsO4)18O12(OH)4(H2O)86,,
635,Pb5Sb4S11,,
636,CuCu2(OH)3Cl2,,
637,CuPbSbS3,,
638,(MoO2)2O(SO3(OH))2(H2O)4,,
639,(NH4)2Mg(SO4)2(H2O)6,,
640,Rh2S3,,
641,PtSnS,,
642,Zn(SO4)(H2O)4,,
643,NaMn5Si5O14(OH)(AsO3)(OH),,
644,CrO(OH),,
645,Pb2Mn(VO4)2(OH),,
646,NaCuCuCu2(AsO4)3,,
647,Na3Mg(PO4)(CO3),,
648,PtS,,
649,NaCu5(SbTi)O2(AsO4)4As2O6.0(OH)2(H2O)8,,
650,Ca6.15Na0.85REE2.08B24.0O28.0(OH)12.0(O0.5(OH)0.5)12.0(H2O),,
651,C20H34,,
652,BeAl2(PO4)2(OH)2(H2O)5,,
653,MgSb2(OH)12(H2O)6,,
654,Ca2Mn(AsO4)2(H2O)2,,
655,UTi2O6,,
656,KSn2(Li3Si12)O30,,
657,Mg(AsO3(OH))(H2O)4,,
658,Mn19(AsO3)12Cl2,,
659,K2Ca(UO2)(CO3)3(H2O)6,,
660,MnMn6O8(SiO4),,
661,NaAl3(PO4)2(OH)4,,
662,Ca7Mg(SiO4)4,,
663,NiSb,,
664,(Bi0.5Pb0.5)2(Fe0.5Fe0.5)O2(OH)(PO4),,
665,Ca2(CO3)F2,,
666,Ba(Al2Si6)O16(H2O)5,,
667,Sr(Al2Si6)O16(H2O)5,,
668,Ca3Si3O9,,
669,Cr3S4,,
670,Na2CaMg(PO4)2,,
671,Ca3B5O6(OH)7Cl2(H2O)8,,
672,Zn3(CO3)(OH)4,,
673,Cu2FeGeS4,,
674,CaCe2Cu6(SO4)4(OH)12(H2O)8,,
675,MgSiO3,,
676,(Ni0.5Al0.5)3(Si0.5Al0.5)2O5(OH)4,,
677,(Na0.33K0.33Ca0.33)0.3(Al0.33Fe0.33Mg0.33)4(Si0.5Al0.5)8O20(OH)4(H2O)3.5,,
678,(Ce0.5Ca0.5)5(SiO4)3(OH),,
679,(Y0.5Ca0.5)5(SiO4)3(OH),,
680,Pb14Mg9(Si10O28)(BO3)4(CO3)2(OH)12F2,,
681,NaSbO3,,
682,Cu4(SO4)(OH)6,,
683,(Ca0.33Th0.33Ce0.33)(PO4)(H2O),,
684,Cu2HgSe2,,
685,AgBr,,
686,BeO,,
687,(NH4)3PbCl5,,
688,TiO2,,
689,MnS,,
690,MnSi,,
691,Ca2FeAlO5,,
692,Mg(OH)2,,
693,Ca(IO3)2(H2O),,
694,Mg6Fe(CO3)(OH)13(H2O)4,,
695,Cu3(TeO4)(OH)4(H2O)5,,
696,Fe2GeO4,,
697,Ca(PO3(OH))(H2O)2,,
698,K2Na8Ca(SO4)6,,
699,NaCa(PO4),,
700,(Pb2BiS3)(AuTe2),,
701,(NH4)(AlSi3)O8,,
702,Cu4Tl2Se4,,
703,Fe2(AsO4)(SO4)(OH)(H2O)9,,
704,Al6(AsO4)3(OH)9(H2O)4(H2O)2,,
705,Li2(Ca0.5Na0.5)Fe7Ti2(Si4O12)2O2(OH)4(O0.5F0.5)(H2O)2,,
706,Ca2SiO3(OH)F(H2O),,
707,Mn6AlSi6O18(OH)3,,
708,NiO,,
709,NaFeAl5(PO4)4(OH)6(H2O)2,,
710,(Na0.5Ca0.5)3(Sr0.33Ba0.33Ce0.33)3(CO3)5,,
711,Pb2(FeTe)(AlSi3O8)O6,,
712,Co2(H2O)4As2O6.0(OH)2(H2O),,
713,Na4(SO4)(CO3),,
714,CaVAlSiO6,,
715,KCdCu7O2(SeO3)2Cl9,,
716,(Na0.5K0.5)4Ca2(Ti0.5Nb0.5)8Si16.0O48.0((OH)0.5O0.5)8(H2O)12,,
717,Na4Ca2Zr2(Si2O7)2F4,,
718,Ca2(NH4)2(V10O28)(H2O)15,,
719,CaSn(OH)6,,
720,Ca3(Si0.33Fe0.33Al0.33)(SO4)B(OH)4((OH)0.5O0.5)6(H2O)12,,
721,(Fe0.33Zn0.33Mn0.33)S,,
722,Na4Mn14O27(H2O)21,,
723,Pb2Al(PO4)(VO4)(OH),,
724,Ba4(Na0.5)2(Fe0.5Na0.5)2Ti2(Si2O7)2(CO3)2O2(OH)2(H2O)2F2,,
725,(Ce0.5REE0.5)3(Na0.5(H2O)0.5)6MnSi9Be5(O0.5(OH)0.5)30F4,,
726,(Y0.33REE0.33Ca0.33)3(Na0.5Ca0.5)6MnSi9Be5(O0.33F0.33(OH)0.33)34,,
727,Mn2Ca2MnCa(Si3O9)2,,
728,Ni6SnS2,,
729,Fe(SO4)(OH)(H2O)2,,
730,K2Ca(CO3)2,,
731,Cu36(NO3)2Cl8(OH)62(H2O),,
732,NaBa2Ce2MnTi2Si8O26(F0.5(OH)0.5)(H2O),,
733,(Ba0.33Na0.33K0.33)2(Na0.33Ti0.33Mn0.33)4(Ti0.5Nb0.5)2O2Si4O14((H2O)0.33F0.33(OH)0.33)2(H2O)3.5,,
734,(Be0.5)(V0.5Ti0.5)3O6,,
735,(Na0.5K0.5)7Ca(Si6Al6)O24(S)1.5(H2O),,
736,MgSb2O6,,
737,Cu3SbSe3,,
738,Ba5(Ca0.33REE0.33Y0.33)22(Ti0.5Nb0.5)18(SiO4)4(PO4)2.0(Si4O16.0)0.5(BO3)9O22(OH)21.5F0.5(H2O)1.5,,
739,CaMg2(AsO4)2(H2O)2,,
740,Pd2CuSn,,
741,Th2F7(OH)(H2O)3,,
742,Fe24AlO6(PO4)17(OH)12(H2O)75,,
743,Cd,,
744,CdIn2S4,,
745,CdSe,,
746,Al5(H2O)3(OH)12Cl(H2O),,
747,CsFe4(AsO4)3(OH)4(H2O)4,,
748,(Ca0.33Na0.33)19Ti8Fe4Fe4(AsO3)28F,,
749,CaTi2O5(H2O),,
750,Ca2B(AsO4)(OH)4,,
751,Sr2Ca4Na6(Si4O10)4(OH)2(H2O)12,,
752,Na2TiO(SO4)2(H2O)2,,
753,AuTe2,,
754,CaB2O4,,
755,KNaCa(Si4O10)(H2O),,
756,(Ce0.33Ca0.33Sr0.33)(CO3)((OH)0.5(H2O)0.5),,
757,(LaCa)(CO3)2(OH)(H2O),,
758,Nd2.8Ca1.2(CO3)4(OH)3(H2O),,
759,KCaCu5(AsO4)4As(OH)2O2(H2O)2,,
760,PbCa2AlF9,,
761,Na3(Ca0.25Ce0.25Sr0.25La0.25)3(CO3)5,,
762,CaZrSi3O9(H2O)2,,
763,CaFe4(SO4)6(OH)2(H2O)20,,
764,Ca(VO3)2(H2O)4,,
765,Ca4MgFe4(PO4)6(OH)4(H2O)12,,
766,NaNaCa(CaFe)(AsO4)3,,
767,CaZrSi3O9(H2O)3,,
768,NaCaMgMg2(AsO4)3,,
769,K2Ca2(SO4)3,,
770,(Na0.5)2Ca(Ti0.33Mg0.33Nb0.33)4Si4.0O14.0O2((OH)0.5O0.5)2(H2O)4,,
771,Ca2(SiO4),,
772,CaCu6(PO4)2(PO3(OH))(OH)6(H2O)3,,
773,(Ca0.33Fe0.33Y0.33)(Nb0.33Ta0.33Ti0.33)O4,,
774,CaTa4O11,,
775,(Ca0.33Ba0.33Pb0.33)U2O7(H2O)5,,
776,Ca4(UO2)4(Si2O5)5(OH)6(H2O)15,,
777,SrCaB11O16(OH)5(H2O),,
778,Ca(CO3),,
779,Na(Ca0.5Sr0.5)3Al3(OH)2F14,,
780,Ca(CH3COO)Cl(H2O)5,,
781,(Ca0.5Na0.5)2(UO2)3(MoO4)2(OH)5.5(H2O),,
782,(Y0.33REE0.33Ca0.33)2(B0.5Be0.5)2(SiO4)2((OH)0.5O0.5)2,,
783,Mn3Fe2(SiO4)3,,
784,Pb2Fe(VO4)2(OH),,
785,Cu2Pb5(SO4)3(CO3)(OH)6,,
786,Ce2(CO3)3(H2O)4,,
787,Cu2Mg2(CO3)(OH)6(H2O)2,,
788,HgCl,,
789,CaCu4(OH)8Cl2(H2O)3.5,,
790,Cu5Ge0.5S4,,
791,Ca2Zr5Ti2O16,,
792,NaCaMg2(AsO4)2AsO2(OH)2,,
793,Ba3Na(Fe0.5Mn0.5)8Ti4(Si2O7)4O4((OH)0.5F0.5)7,,
794,Fe2(PO3(OH))2(SO4)(H2O)4(H2O)1.5,,
795,Cu6Al3(OH)18(H2O)2Sb(OH)6(SO4),,
796,Cu4.57(Cu0.5Ag0.5)3.43Te10,,
797,CaMg(AsO4)(OH)(H2O)5,,
798,Mg7(SO4)5(OH)4(H2O),,
799,Cu4Mn(SO4)2(OH)6(H2O)4,,
800,(Bi2.5Na0.5)(NH4)2Na2(SO4)6(H2O),,
801,Na2CaP2O7(H2O)4,,
802,K3Na3Ca5Si12O30(OH)4,,
803,Mg2(HBO3)(CO3)(H2O)5,,
804,(Na0.33Ca0.33)8(Al6Si6)O24((CO3)0.5(SO4)0.5)2(H2O)2,,
805,Na7(Si7Al5)O24(CO3)(H2O)3,,
806,Ag8SnS6,,
807,Pb8Bi10S23,,
808,Bi2O(SO4)(OH)2,,
809,Ba2Fe(AsO4)2(OH),,
810,NaMnMn2(AsO4)As2O6.0(OH)2,,
811,Ca(C2O4)(H2O)3,,
812,AgHgClS,,
813,BaY6B6Si3O24F2,,
814,KCaNaAl4B4Si2O18,,
815,Na2(Pb2Na)(SO4)3Cl,,
816,Ca2MgB2(OH)8.0(CO3)2(H2O)4,,
817,Na8(Al6Si6O24)(CO3)(H2O)4,,
818,Ca4Al2(OH)12(CO3)(H2O)6,,
819,(Sr0.33Ce0.33La0.33)(Ca0.5Na0.5)(CO3)2,,
820,FeAl2GeO5(OH)2,,
821,(Na0.5)12(Na0.5Ce0.5)3Ca6Mn3Zr3NbSi25O73(OH)3(CO3)(H2O),,
822,Cu4Al2((CO3)0.5(SO4)0.5)(OH)12(H2O)2,,
823,Zn5.5(AsO4)2(AsO3(OH))(OH)3(H2O)3,,
824,(AgSb)Pb6(As0.5Sb0.5)8S20,,
825,Fe4Al2(OH)12(CO3)(H2O)3,,
826,KNa4Ca4Si8O18(CO3)4(F0.5(OH)0.5)(H2O),,
827,Ni3Si,,
828,Mn3(Mn0.25Mg0.25Fe0.25Al0.25)42(AsO3)2(AsO4)4(Si0.5As0.5)6O24.0(As0.5Si0.5)2O8.0(OH)42,,
829,CaTe2TeO8,,
830,NaNdCa3(PO4)3F,,
831,Ca2AlF7(H2O),,
832,Tl2S,,
833,(UO2)2Nb2O6(OH)2(H2O)2,,
834,K3Na2Na3Mg5(IO3)6(SeO4)6(H2O)6,,
835,(Mg0.33Fe0.33Ti0.33)21(Si0.5Al0.5)12O28(OH)34(H2O),,
836,CrN,,
837,(NH4)5Fe3O(SO4)6(H2O)7,,
838,ZrAl2Ti4O11,,
839,(Ti0.33Cr0.33Fe0.33)(O0.5(OH)0.5)2,,
840,PbFe2(AsO4)2(OH)2,,
841,KMgCl3(H2O)6,,
842,K2(UO2)2(VO4)2(H2O)3,,
843,KF,,
844,C24H12,,
845,MnAl2Si2O6(OH)4,,
846,Ca3Ge(SO4)(CO3)(OH)6(H2O)12,,
847,(Ni0.75Al0.25)(SO4)0.12(OH)2(H2O),,
848,CuCo2S4,,
849,NaCaCaMn2(AsO4)3,,
850,(Na0.5Sr0.5)3(Fe0.5Mg0.5)10Ti2Si12O37((H2O)0.33O0.33(OH)0.33)17,,
851,Mn3Si2O5(OH)4,,
852,CaScSi3O8(OH),,
853,(VO2)2Al15(OH)30(H2O)26H2VV9O28V20O56(H2O)90,,
854,Ca4Fe4V2(OH)6O2(Si3O10)(SiO4)2,,
855,Pb5(VO4)2(CrO4)2(H2O),,
856,Ca2Ni(PO4)2(H2O)2,,
857,SnO2,,
858,Mn3(AsO4)2(H2O)4.5,,
859,NaCrS2,,
860,Na2(H(PO4))(H2O)8,,
861,Cu6GeWS8,,
862,Na2Zr(Si3O9)(H2O)2,,
863,CoS2,,
864,Mg3(PO4)2(H2O)22,,
865,Ca(VO)(Si4O10)(H2O)4,,
866,CaV3O7,,
867,CaY6Al2Si4O18F6,,
868,(Ca0.33Yb0.33Er0.33)4Y4(Si8O20)(CO3)6(OH)(H2O)7,,
869,Ba3Ce2(CO3)5F2,,
870,Ca5Al2(SiO4)3(OH)4,,
871,PbFe(VO4)(OH),,
872,Na4(UO2)(CO3)3,,
873,KMgFeSi4O10(OH)2,,
874,Sr(SO4),,
875,(Mn2Al)Al6(Si6O18)(BO3)3(OH)3(OH),,
876,Ba(Al2Si2O8),,
877,CaCu3Cl2(OH)6(H2O)0.35,,
878,Ba4Al4(Si4O12)O2(OH)4Cl2Si2O3(OH)4,,
879,Ba4Fe4(Si4O12)O2(OH)4Cl2Si2O3(OH)4,,
880,Ba4Mn4(Si4O12)O2(OH)4Cl2Si2O3(OH)4,,
881,CeO2,,
882,(Ce0.33La0.33Ca0.33)9(Mg0.5Fe0.5)(SiO4)3(SiO3(OH))4(OH)3,,
883,Ce,,
884,Cu2(Cd0.33Zn0.33Fe0.33)SnS4,,
885,CuPbBiSe3,,
886,CuAl4(AsO4)2(OH)8(H2O)4,,
887,Pb(CO3),,
888,(Ce0.33Nd0.33La0.33)(Fe0.25Ti0.25Fe0.25Al0.25)3O2(Si2O7)0.5(AsO3)0.5(OH)1.5,,
889,SbSbO4,,
890,Ag4TeS,,
891,Ca2Na3(SO4)3(OH),,
892,FeFe2(AsO4)2(OH)2(H2O)8,,
893,Pb(Mn)3O6(OH)2,,
894,Cu3TeO4(OH)4,,
895,CsKCu5O(SO4)5,,
896,Nb2O3(OH)3Cs0.5,,
897,Cs2Pb3Ta8O24,,
898,NaK5Sb14S6O18(H2O)6,,
899,Ca2Al4Si8O24(H2O)13,,
900,(K2NaCa0.5)Al4Si8O24(H2O)11,,
901,(Mg0.7K0.5Ca0.5Na0.1)Al3Si9O24(H2O)10,,
902,(Na3K)Al4Si8O24(H2O)11,,
903,(Sr0.5Ca0.5)2Al4Si8O24(H2O)11,,
904,Ag0.07Tl7.73Pb4.4Sb22.17As17.63S68,,
905,(UO2)(HAsO3),,
906,ZnFe(SO4)2(OH)(H2O)4,,
907,Cu(SO4)(H2O)5,,
908,CuAl4(SO4)(OH)12(H2O)3,,
909,Cu2S,,
910,Cu(SO4),,
911,Cu(SeO3)(H2O)2,,
912,Na2Cu(CO3)2(H2O)3,,
913,ZnMn3O7(H2O)3,,
914,Cu18Al2(AsO4)4(SO4)3(OH)24(H2O)36,,
915,CuFeS2,,
916,CuFe6(PO4)4(OH)8(H2O)4,,
917,CuSbS2,,
918,(Cu0.33Fe0.33Ag0.33)6.3(Tl0.5K0.5)2SbS4,,
919,KPb2Cl5,,
920,Mn3B7O13Cl,,
921,(Cu0.5Fe0.5)4As(Se0.5S0.5)4,,
922,(Fe0.25Mg0.25Al0.25Fe0.25)6(Si0.5Al0.5)4O10((OH)0.5O0.5)8,,
923,Cu2Cl(N3C2H2)2(NH3)Cl(H2O),,
924,PbNb2O6,,
925,IrBiS,,
926,Na2Zn(SO4)2(H2O)4,,
927,CaAl2(SiO4)(OH)4,,
928,C,,
929,Fe2Sb(Si2O5)O3(OH),,
930,CaNb4O10(OH)2(H2O)8,,
931,Ca6Al2(SO4)2B(OH)4((OH)0.5O0.5)12(H2O)26,,
932,Mn4Al2(OH)12(CO3)(H2O)3,,
933,(K0.25Sr0.25Ba0.25Mn0.25)15.5(Ca0.5Na0.5)32Si70(O0.5(OH)0.5)180((OH)0.5F0.5)4(H2O),,
934,Cu6FeSn2S8,,
935,KMg4FeSi12O30,,
936,Ca7(SiO4)3(OH)2,,
937,Bi2Te4O11,,
938,CaMgB2O4Cl2(H2O)7,,
939,CuFe(AsO4)(OH)2,,
940,Ir3Fe,,
941,Ag9FeTe2S4,,
942,CuPb4(SO4)2(OH)6,,
943,FeCr2O4,,
944,CaTh(PO4)2,,
945,Pb3Zn3(TeO6)(VO4)2,,
946,RhAs,,
947,(H3O)(UO2)(PO4)(H2O)3,,
948,Y(AsO4),,
949,BaV2(Si2Al2)O10(OH)2,,
950,Pb2V2O7,,
951,Na2SiO2(OH)2(H2O)8,,
952,Na4Ca2Mg3Al8(SiO4)2(SO4)10(OH)10(H2O)40,,
953,Mg17Si20O54(OH)6,,
954,Mg2(Fe0.25Mg0.25Al0.25Sb0.25)O2(BO3),,
955,Ce4(Ti0.33Fe0.33Fe0.33)5O8(Si2O7)2,,
956,Y2Mn(Si3O7)4,,
957,CaMn(Be(OH))2Si5O13(H2O)2,,
958,SiO2(CH4)0.044(C2H6)0.044(C3H8)0.044(C4H10)0.044,,
959,NiAl2O4,,
960,FeAl12O19,,
961,FeAl(PO4)(OH)2(H2O),,
962,Bi3TeMoO10.5,,
963,Na2Mg5(As2O7)2(AsO3(OH))2(H2O)10,,
964,NaY(SO4)2(H2O),,
965,Na5Al3F14,,
966,(Na0.5Ca0.5)13(Fe0.33Mn0.33)2Ti2(Zr0.5Ti0.5)3(Si2O7)4((OH)0.33O0.33F0.33)12,,
967,Al(UO2)2(AsO4)2F(H2O)6.5,,
968,Ca4(Ti0.5Nb0.5)5(Si6O17)2((OH)0.5O0.5)5(H2O)13.5,,
969,Ca3Si(CO3)B(OH)4O(OH)5(H2O)12,,
970,Na2BeSi2O6,,
971,Na3CaMg11(PO4)9,,
972,AlCl3(H2O)6,,
973,Ca5(PO4)3Cl,,
974,AgCl,,
975,Mg2(CO3)Cl(OH)(H2O)2.5,,
976,K6Fe24S26Cl,,
977,Ca5(SiO4)1.5(SO4)1.5Cl,,
978,FeAl2O(SiO4)(OH)2,,
979,Ca12Al14O32(H2O)4Cl2,,
980,Mg4Al2(OH)12Cl2(H2O)2,,
981,K4MnCl6,,
982,Ca12Al14O32Cl2,,
983,KCaCl3,,
984,MgCl2,,
985,Cu9O2(SeO3)4Cl6,,
986,(Mn0.33Mg0.33Zn0.33)3Zn2(AsO4)((OH)0.5O0.5)6,,
987,K2Cu(SO4)Cl2,,
988,Pb3CuO2Cl2(OH)2,,
989,(Pb0.5Ca0.5)3(Cu0.5Sb0.5)3Te6O18Cl,,
990,Mg5(SiO4)2F2,,
991,Ca3Mg2(AsO4)2(AsO3(OH))2(H2O)4,,
992,Mg3(PO4)2,,
993,Pb14.6Sb14.4S36O0.2,,
994,Ag2Pd3Se4,,
995,Zn3Cu2(SO4)2(OH)6(H2O)4,,
996,TlHgAsS3,,
997,Ce3CaMnTiFe()Ti2(Si2O7)2O8,,
998,CaCrO4,,
999,Bi16CrO27,,
1000,KMgCr(Si4O10)(OH)2,,
1001,Fe1.5Cr0.2,,
1002,NaCa2(Mg4Cr)(Si6Al2)O22(OH)2,,
1003,FeCr2O4,,
1004,Cr,,
1005,NaMg3Cr6(Si6O18)(BO3)3(OH)3(OH),,
1006,NaCr3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,,
1007,KCr2(AlSi3O10)(OH)2,,
1008,Pb10Te6O20(OH)14(CrO4)(H2O)5,,
1009,BeAl2O4,,
1010,(Cu1.0Al1.0)H1.0Si2O5(OH)4(H2O),,
1011,K6Cu6TlCl17(OH)4(H2O),,
1012,Mg3Si2O5(OH)4,,
1013,KZn2(BO3)Cl2,,
1014,Mg5(AsO4)2(AsO3(OH))2(H2O)10,,
1015,Fe2(CO3)(OH)2,,
1016,Ca3Ca1.5Al2(SO4)F13(H2O)12,,
1017,Ca3CeAl2(SO4)F13(H2O)12,,
1018,Ca3NdAl2(SO4)F13(H2O)12,,
1019,Ca3YAl2(SO4)F13(H2O)12,,
1020,(Li0.5Al0.5)Al2O4,,
1021,AgPb7Sb5S15,,
1022,Y(PO4)(H2O)2,,
1023,HgHg(AsO4),,
1024,Mn(SO4)(H2O)6,,
1025,Na(Cu0.33Fe0.33Zn0.33)2S2,,
1026,Mg2MnZn2(OH)10(H2O)3,,
1027,HgS,,
1028,Ca4(ThCa)Al(Be0.5)B4Si4O22(OH)2,,
1029,Cu4Pb19(Sb0.33As0.33Bi0.33)22(As2)S56,,
1030,Ca3Al2(PO4)3(OH)3,,
1031,(NH4)2Fe3(SO4)4(OH)3(H2O)3,,
1032,(Cu0.5Zn0.5)15(CO3)4(AsO4)2(SO4)(OH)14(H2O)7,,
1033,Cu4FCl(OH)6,,
1034,Na(UO2)O(OH)(H2O),,
1035,As2O3,,
1036,PbSe,,
1037,Hg3(CO3)(OH)(H2O)2,,
1038,MnSb2S4,,
1039,Pb(U0.5U0.5)Fe2(Ti0.33Fe0.33Fe0.33)18(O0.5(OH)0.5)38,,
1040,UTe3O9,,
1041,Cu2Cl(OH)3,,
1042,Be(OH)2,,
1043,Bi(VO4),,
1044,SbSbO4,,
1045,Mg5Al(AlSi3O10)(OH)8,,
1046,Cu3(AsO4)(OH)3,,
1047,Mg2Si2O6,,
1048,Li2(Mg3Fe2)Si8O22(OH)2,,
1049,Li2Fe3Fe2(Si8O22)(OH)2,,
1050,Fe2Si2O6,,
1051,CaZn(SiO4)(H2O),,
1052,Mg9(SiO4)4F2,,
1053,Mg5Si6O16(OH)2,,
1054,CaMgB2O5,,
1055,HBO2,,
1056,Ag15Pb6Sb21Bi18S72,,
1057,Na3Ca(SiO3)(PO4),,
1058,Ca3(Si30Al6)O72(H2O)20,,
1059,K6(Si30Al6)O72(H2O)20,,
1060,Na6(Si30Al6)O72(H2O)20,,
1061,CoAs2,,
1062,Mn2Mg5Si8O22(OH)2,,
1063,Ca4Si6O17(H2O)2(H2O)(Ca3),,
1064,Na0.25K0.25Fe0.25(SO4)0.25,,
1065,Ca2Al3Si2O7(SiO4)O(OH),,
1066,CaAlMg2(SiAl3O10)(OH)2,,
1067,Cu0.5(VO)0.5Al2(PO4)2F2(H2O)5,,
1068,Mg10Fe2(CO3)(OH)24(H2O)2,,
1069,CoFe2(AsO4)2(OH)2(H2O)4,,
1070,CaCo(AsO4)(OH),,
1071,CoAsS,,
1072,Co(SO4)(H2O),,
1073,Co(AsO3(OH))(H2O),,
1074,CaCo2(AsO4)2(H2O)2,,
1075,Bi2Fe(Co0.5Fe0.5)(AsO4)2O2(OH)2,,
1076,Na2Co(SO4)2(H2O)4,,
1077,Co(SeO3)(H2O)2,,
1078,Co9S8,,
1079,PbCo2(AsO4)2(H2O)2,,
1080,Co(UO2)2(SO4)O2(H2O)3.5,,
1081,HgI2,,
1082,CoCr2O4,,
1083,Fe2Al2(UO2)2(PO4)4(SO4)(OH)2(H2O)20,,
1084,SiO2,,
1085,U(SiO4)(H2O),,
1086,CFe3,,
1087,(Pb0.5Sn0.5)12.5As3Sn5FeS28,,
1088,Pd3Ag2S,,
1089,CaB3O4(OH)3(H2O),,
1090,K3VS4,,
1091,BaCuSi2O6,,
1092,Ca2Mg(PO4)2(H2O)2,,
1093,NaTiSi2O6,,
1094,HgTe,,
1095,CaLiAlF6,,
1096,FeNb2O6,,
1097,MgNb2O6,,
1098,MnNb2O6,,
1099,Cu13VAs3S16,,
1100,Hg55N24(NH2)2(OH)2(Cl0.5Br0.5)34,,
1101,Na4.5Ca3.5Si6O17.5(OH)0.5,,
1102,Ni4Co2(CO3)(OH)12(H2O)3,,
1103,K2(UO2)6O4(OH)6(H2O)7,,
1104,Fe3B7O13Cl,,
1105,CaCu(AsO4)(OH),,
1106,Cu36(SO4)(OH)62Cl8(H2O)6,,
1107,(Al0.5Li0.5)3Al2(Si0.5Al0.5)4O10(OH)8,,
1108,KMn13(Si0.5Al0.5)18O42(OH)14,,
1109,PtS,,
1110,Cu4O2(AsO4)Cl,,
1111,FeFe4(SO4)6(OH)2(H2O)20,,
1112,Cu,,
1113,Sb6.3O8.3(SO4)(OH)0.3(H2O)0.7,,
1114,AlFe3(SO4)6(H2O)12(H2O)6,,
1115,MnMn2(AsO4)2(OH)2(H2O)4,,
1116,Hg3S2Cl2,,
1117,Mg2Al4Si5O18,,
1118,(Na0.33Ca0.33)BaCe2(CO3)4(F0.5O0.5),,
1119,NaCaBa2La3Sr(CO3)8F2,,
1120,PbFe3(SO4)(PO4)(OH)6,,
1121,Cu3(PO4)(OH)3,,
1122,Cu5(AsO4)2(OH)4,,
1123,Cu5(AsO4)2(OH)4,,
1124,Pb(Mn6Mn2)O16,,
1125,FeMn2(PO4)2(H2O)3,,
1126,(Mg0.5Fe0.5)9((Si0.5Al0.5)8O20)(OH)10(H2O),,
1127,CaV2Si2O7(OH)2(H2O),,
1128,Al2O3,,
1129,(Na0.33Ca0.33K0.33)0.5(V0.33V0.33Fe0.33)8O20(H2O)4,,
1130,Pb2Bi2S5,,
1131,Ce2(SO4)2(C2O4)(H2O)8,,
1132,(Mg0.5)Al6(SO4)6(H(SO4))F6(H2O)36,,
1133,CoSbS,,
1134,PbCl2,,
1135,FeV2O4,,
1136,MgU2Mo2O11(H2O)6,,
1137,Th0.25Ba0.5(UO2)2Si5O13(H2O)3,,
1138,CuS,,
