,minerals,,
119,BaCa(CO3)2,,
120,PbTe,,
121,Zn2Fe4(SO4)4(C2O4)2(OH)4(H2O)17,,
122,Mg4(PO4)2((OH)0.5O0.5)(F0.5),,
123,AlTh(UO2)7(PO4)4O2(OH)5(H2O)15,,
124,Na3K6Ti2Al2Si8O26Cl3,,
125,KAl(SO4)2(H2O)12,,
126,NaAl(SO4)2(H2O)12,,
127,Al2(SO4)(OH)4(H2O)7,,
128,Al,,
129,K(Mg0.5Fe0.5)Al(Si4O10)(OH)2,,
130,(Ce0.33REE0.33Ca0.33)9(Al0.5Fe0.5)(SiO4)3Si4O12.0(OH)4(OH)3,,
131,(Al0.5Mg0.5)Fe4(SO4)6((OH)0.5O0.5)2(H2O)20,,
132,Al2Fe2(SO4)6(H2O)12(H2O)9,,
133,Mg2AlO2(BO3),,
134,Al3Al6(Si5AlO18)(BO3)3(OH)3O,,
135,(NH4)3Al(SO4)3,,
136,KNa2Al2Li3Si12O30,,
137,(CaNa)AlSi2O7,,
138,K2NaCu5AlO2(AsO4)4,,
139,CaAl2(CO3)2(OH)4(H2O)4,,
140,K3Cu3AlO2(SO4)4,,
141,AlTaO4,,
142,Ca19Al(Al10Mg2)Si18O69(OH)9,,
143,KAl3(SO4)2(OH)6,,
144,Al2(SO4)3(H2O)12(H2O)5,,
145,ZnAl4(VO3)2(OH)12(H2O)2,,
146,Y(UO2)3(SO4)2O(OH)3(H2O)7(H2O)7,,
147,Fe(OH)2,,
148,CaMn2Mn(Si2O7)O(OH),,
149,Fe2O(SO4)2(H2O)7,,
150,NaFe(SO4)2(H2O)6,,
151,LiAl(PO4)F,,
152,K1.0(NH8.0)0.5(As0.5Sb0.5)6(Sb0.5As0.5)2S13(H2O),,
153,NaB3O3(OH)4,,
154,Mg2Al(AlSiO5)(OH)4,,
155,Tl2TeO6,,
156,K2Na2(Al4Si4O16)(H2O)5,,
157,Ca3(Be(OH))2Si3O10,,
158,CuCl2(NH3)2,,
159,(NH4)Al3(SO4)2(OH)6,,
160,(NH4)3B15O20(OH)8(H2O)4,,
161,(NH4)Fe3(SO4)2(OH)6,,
162,(NH4)2Mg2(H2O)20V10O28,,
163,(NH4)(AlSi2O6),,
164,(NH4)2Mg5Fe3Al(SO4)12(H2O)18,,
165,(NH4)5(UO2)4(SO4)4(VO5)(H2O)4,,
166,(NH4)Al2(PO4)2(OH)(H2O)2,,
167,(NH4)2Fe5Fe3Al(SO4)12(H2O)18,,
168,(NH4)2(UO2)2(SO4)O2(H2O),,
169,CaAl(Al0.5Si0.5)4O8(OH)2(OH)2(H2O)0.5Cl0.5,,
170,Na(AlSi2O6)(H2O),,
171,BaFe3(Si3Fe)O10S(OH),,
172,Ca2Fe(PO4)2(H2O)4,,
173,CaFeP2O7,,
174,TiO2,,
175,Na6(Ca0.5Na0.5)(Mg0.5Fe0.5)3Al(AsO4)6,,
